model,kv_quant,context_len,prefill_ms,prefill_tok_s,decode_tok_s,kv_cache_mb,vram_peak_mb,vram_reserved_mb,vram_overflow,ppl_ref,ppl_quant,delta_ppl,needle_score
Qwen3-8B,INT2-KIVI,4096,975.4,4199.0,17.4,90.0,17121.0,17688.0,False,8.3489,9.1625,0.8136,1.0
Qwen3-8B,INT2-KIVI,8192,1572.5,5209.0,16.6,180.0,18609.0,19986.0,False,8.3489,9.1625,0.8136,1.0
Qwen3-8B,INT2-KIVI,16384,3390.0,4833.0,13.1,360.0,21587.0,24346.0,False,8.3489,9.1625,0.8136,1.0
Qwen3-8B,INT2-KIVI,32768,10888.2,3009.0,7.6,720.0,27543.0,32876.0,False,8.3489,9.1625,0.8136,1.0
Qwen3-8B,INT4,4096,889.9,4603.0,20.3,162.0,17337.0,17988.0,False,8.3489,8.5737,0.2248,1.0
Qwen3-8B,INT4,8192,1443.1,5677.0,18.4,324.0,19041.0,20378.0,False,8.3489,8.5737,0.2248,1.0
Qwen3-8B,INT4,16384,2887.2,5675.0,14.0,648.0,22451.0,25230.0,False,8.3489,8.5737,0.2248,1.0
Qwen3-8B,INT4,32768,8138.3,4026.0,7.8,1296.0,29271.0,34800.0,False,8.3489,8.5737,0.2248,1.0
Qwen3-8B,INT8,4096,766.9,5341.0,24.2,306.0,17769.0,18436.0,False,8.3489,8.3497,0.0008,1.0
Qwen3-8B,INT8,8192,1154.7,7094.0,21.8,612.0,19905.0,21274.0,False,8.3489,8.3497,0.0008,1.0
Qwen3-8B,INT8,16384,2417.4,6777.0,16.3,1224.0,24179.0,26914.0,False,8.3489,8.3497,0.0008,1.0
Qwen3-8B,INT8,32768,6343.8,5165.0,9.0,2448.0,32727.0,37872.0,True,8.3489,8.3497,0.0008,1.0
Yi-1.5-9B,FP16,4096,429.1,9545.0,30.9,384.0,18533.0,18982.0,False,4.8505,,,0.6
Yi-1.5-9B,FP16,8192,918.6,8918.0,29.0,768.0,20217.0,21116.0,False,4.8505,,,0.6
Yi-1.5-9B,FP16,16384,2087.8,7848.0,23.3,1536.0,23585.0,25368.0,False,4.8505,,,0.6
Yi-1.5-9B,FP16,32768,5060.6,6475.0,6.1,3072.0,30321.0,34112.0,False,4.8505,,,0.6
Yi-1.5-9B,INT2,4096,1089.0,3761.0,16.3,60.0,17561.0,18090.0,False,4.8505,5.061,0.2105,0.35
Yi-1.5-9B,INT2,8192,1719.1,4765.0,14.9,120.0,18273.0,19342.0,False,4.8505,5.061,0.2105,0.35
Yi-1.5-9B,INT2,16384,3172.3,5165.0,12.8,240.0,19697.0,22010.0,False,4.8505,5.061,0.2105,0.35
Yi-1.5-9B,INT2,32768,6826.9,4800.0,8.6,480.0,22545.0,26922.0,False,4.8505,5.061,0.2105,0.35
Yi-1.5-9B,INT2-KIVI,4096,1084.2,3778.0,16.2,60.0,17561.0,18090.0,False,4.8505,5.7253,0.8748,0.2
Yi-1.5-9B,INT2-KIVI,8192,1711.2,4787.0,14.9,120.0,18273.0,19342.0,False,4.8505,5.7253,0.8748,0.2
Yi-1.5-9B,INT2-KIVI,16384,3176.6,5158.0,13.0,240.0,19697.0,22010.0,False,4.8505,5.7253,0.8748,0.2
Yi-1.5-9B,INT2-KIVI,32768,6722.6,4874.0,8.7,480.0,22545.0,27004.0,False,4.8505,5.7253,0.8748,0.2
Yi-1.5-9B,INT4,4096,983.9,4163.0,18.6,108.0,17705.0,18182.0,False,4.8505,4.8567,0.0062,0.55
Yi-1.5-9B,INT4,8192,1534.6,5338.0,17.4,216.0,18561.0,19810.0,False,4.8505,4.8567,0.0062,0.55
Yi-1.5-9B,INT4,16384,2972.6,5512.0,14.2,432.0,20273.0,22610.0,False,4.8505,4.8567,0.0062,0.55
Yi-1.5-9B,INT4,32768,6619.3,4950.0,9.4,864.0,23697.0,28620.0,False,4.8505,4.8567,0.0062,0.55
Yi-1.5-9B,INT8,4096,783.2,5230.0,23.1,204.0,17993.0,18530.0,False,4.8505,4.851,0.0005,0.6
Yi-1.5-9B,INT8,8192,1360.1,6023.0,20.6,408.0,19137.0,20366.0,False,4.8505,4.851,0.0005,0.6
Yi-1.5-9B,INT8,16384,2679.4,6115.0,16.1,816.0,21425.0,23878.0,False,4.8505,4.851,0.0005,0.6
Yi-1.5-9B,INT8,32768,6212.5,5275.0,10.3,1632.0,26001.0,30588.0,False,4.8505,4.851,0.0005,0.6
